subunit,facts_id,uom,date_plann,date_accom,date_compl,nbr_units_,nbr_units1,activity,method,equipment
000,7460084000,ACRES,2006-10-01,2006-12-01,2006-12-01,15,15,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,4552637000,ACRES,2008-09-17,2008-09-17,,34,34,Compacting/Crushing of Fuels,Mechanical,Masticator
000,2260105000,ACRES,2014-06-20,2014-06-20,,104,104,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,2260105000,ACRES,2014-06-20,2014-06-20,,104,104,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,2260105000,ACRES,2015-04-01,,,104,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,6130104000,ACRES,2001-07-31,2005-09-30,2005-09-30,11.3,11.3,Burning of Piled Material,Fire,Drip torch
002,WRIGHTWD08,ACRES,2011-10-01,2011-12-15,2011-12-15,15,15,Burning of Piled Material,Fire,Drip torch
000,01900H3030,ACRES,2012-04-01,2014-08-08,2014-08-08,0.5,0.5,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,01900H3062,ACRES,2014-01-01,2014-03-24,,0.6,0.6,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,01900H3062,ACRES,2014-01-01,2014-03-24,,0.6,0.6,Burning of Piled Material,Prescribed Burn,Drip torch
000,6010081000,ACRES,2012-04-23,2012-04-23,2012-04-23,10,10,Broadcast Burning - Covers a majority of the unit,Fire,Drip torch
003,FTGSMTRD01,ACRES,2006-10-01,2007-02-07,2007-02-07,42,42,Burning of Piled Material,Prescribed Burn,Drip torch
001,0190I16017,ACRES,2010-06-01,2010-09-20,2010-09-20,1.8,1.8,"Piling of Fuels, Hand or Machine",Manual,NA
001,0190I16017,ACRES,2010-06-01,2010-09-20,2010-09-20,1.8,1.8,Precommercial Thin,Manual,Chain Saw
031,035038WALL,ACRES,2012-08-01,2012-08-31,,18.6,18.6,Fuel Break,Mechanical,Tractor (non-harvest)
031,035038WALL,ACRES,2012-08-01,2012-08-31,,18.6,18.6,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,Tractor (non-harvest)
000,7120006000,ACRES,2010-04-01,2010-08-30,2012-10-14,8,11,Precommercial Thin,Mechanical,Masticator
000,F272000004,ACRES,2007-11-01,2007-11-01,2007-11-01,1,1,Burning of Piled Material,Prescribed Burn,Drip torch
000,23S04A0000,ACRES,2007-06-12,2007-06-12,2007-06-12,15,15,Chipping of Fuels,Mechanical,Chipper
000,0190G18018,ACRES,2008-05-02,2008-07-02,2008-07-02,0.1,0.1,Precommercial Thin,Manual,Chain Saw
000,F031000114,ACRES,2009-10-01,2009-11-18,2009-11-18,15.9,15.9,Burning of Piled Material,Prescribed Burn,NA
000,3069401000,ACRES,2007-09-28,2008-09-11,2010-07-12,17.2,17.2,Rearrangement of Fuels,Mechanical,Slash Buster
000,610504F000,ACRES,2008-05-21,2008-07-30,2008-07-30,91,91,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,Helicopter (non-harvest)
000,610504F000,ACRES,2008-05-21,2008-07-30,2008-07-30,131,131,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,610558F000,ACRES,2008-05-21,2009-08-25,2009-08-25,33,33,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,Helicopter (non-harvest)
000,610558F000,ACRES,2008-05-21,2008-07-30,2008-07-30,7,7,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,Helicopter (non-harvest)
000,0190D13042,ACRES,2008-10-01,2009-07-09,2009-07-09,0.6,0.6,Precommercial Thin,Manual,Chain Saw
000,019G171001,ACRES,2008-05-02,2008-07-02,2008-07-02,0.2,0.2,Chipping of Fuels,Chipping,Chipper
000,019F211062,ACRES,2007-05-15,2010-03-15,2010-03-15,3,3,Burning of Piled Material,Prescribed Burn,Drip torch
000,1220057000,ACRES,2004-10-15,2004-10-15,2004-10-15,8,8,Burning of Piled Material,Prescribed Burn,Drip torch
000,0190DFPZ31,ACRES,2009-05-15,2009-09-22,2009-10-29,5.3,5.3,Precommercial Thin,Manual,NA
000,0190DFPZ31,ACRES,2009-05-15,2009-09-22,2009-10-29,5.3,5.3,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,2102103000,ACRES,2005-11-30,2006-06-30,2006-06-30,7,7,"Piling of Fuels, Hand or Machine",Manual,NA
000,0190F20159,ACRES,2007-05-15,2008-07-15,2008-07-15,0.3,0.3,Precommercial Thin,Manual,Chain Saw
000,0190F20159,ACRES,2007-05-15,2008-07-15,2008-07-15,0.3,0.3,Chipping of Fuels,Chipping,Chipper
000,0030341000,ACRES,2010-09-22,2010-09-22,2011-08-11,52,52,Prune,Manual,Chain Saw
002,8601023000,ACRES,2012-04-01,2012-05-01,2012-05-01,17.2,17.2,Underburn - Low Intensity (Majority of Unit),Fire,Drip torch
001,0190I16017,ACRES,2006-05-15,2008-07-25,2008-07-25,1.8,1.8,Burning of Piled Material,Prescribed Burn,Drip torch
000,4080044000,ACRES,2013-03-29,2013-03-29,,5,5,Commercial Thin,Mechanical,Skid-Steer-Type Vehicle
002,6010914000,ACRES,2009-06-09,2011-04-13,2011-04-13,55.5,55.5,Burning of Piled Material,Fire,Drip torch
004,6010914000,ACRES,2009-06-09,2009-07-02,2009-11-30,122.8,122.8,"Piling of Fuels, Hand or Machine",Manual,Hand Work
004,6010914000,ACRES,2009-06-09,2009-07-02,2009-11-30,122.8,122.8,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,2050068000,ACRES,2009-06-15,2009-06-15,2009-08-20,21,21,Precommercial Thin,Mechanical,Masticator
000,2050068000,ACRES,2009-06-15,2009-06-15,2009-08-20,21,21,Compacting/Crushing of Fuels,Mechanical,Masticator
000,2050068000,ACRES,2009-06-15,2009-06-15,2009-08-20,21,21,Tree Release and Weed,Mechanical,Masticator
000,610549F000,ACRES,2010-07-05,2010-08-24,2010-08-24,42,42,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,Helicopter (non-harvest)
037,LIME_FIRE_,ACRES,2008-12-02,2009-04-30,2010-09-17,3.1,3.1,Site Preparation for Planting - Mechanical,Mechanical,Masticator
000,5330020000,ACRES,2008-06-08,2008-06-08,2008-06-08,200,200,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,F045000003,ACRES,2013-10-15,2013-11-19,2013-11-19,96.3,96.3,Burning of Piled Material,Fire,Drip torch
000,F045000003,ACRES,2013-06-15,2013-06-17,2014-09-11,96.3,96.3,"Piling of Fuels, Hand or Machine",Mechanical,Grapple Piler
007,6010914000,ACRES,2009-06-09,2009-07-02,2009-11-30,13.9,13.9,"Piling of Fuels, Hand or Machine",Manual,Hand Work
007,6010914000,ACRES,2009-06-09,2009-07-02,2009-11-30,13.9,13.9,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,7304149000,ACRES,2021-08-15,,,3.9,0,"Piling of Fuels, Hand or Machine",Power Hand,Chain Saw
000,4060400000,ACRES,2009-10-01,2011-07-30,2011-07-30,19.9,19.9,Precommercial Thin,Subsoiling,Excavator
000,7304149000,ACRES,2012-08-15,,,3.9,0,Yarding - Removal of Fuels by Carrying or Dragging,Tractor Logging,Rubber tired skidder logging
000,HWY3FM002F,ACRES,2006-07-01,2006-08-25,2006-08-25,6.7,6.7,"Piling of Fuels, Hand or Machine",Hand piling,Chain Saw
000,7304149000,ACRES,2021-12-15,,,3.9,0,Burning of Piled Material,Fire,Drip torch
000,0190F21019,ACRES,2009-05-15,2009-07-09,2009-07-09,0.3,0.3,Chipping of Fuels,Chipping,Chipper
000,0190F21019,ACRES,2009-05-15,2009-07-09,2009-07-09,0.3,0.3,Precommercial Thin,Manual,NA
000,0190I16087,ACRES,2006-05-15,2008-07-25,2008-07-25,0.9,0.9,Burning of Piled Material,Prescribed Burn,Drip torch
001,4560810000,ACRES,2020-05-01,,,4,0,Fuel Break,Hand piling,NA
002,4560810000,ACRES,2020-09-01,,,3,0,Burning of Piled Material,Prescribed Burn,Drip torch
002,4560810000,ACRES,2020-05-01,,,3,0,Rearrangement of Fuels,Power Hand,Brush cutter
002,4560810000,ACRES,2020-05-01,,,3,0,"Piling of Fuels, Hand or Machine",Hand piling,NA
001,4560810000,ACRES,2020-05-01,,,4,0,Fuel Break,Hand piling,NA
001,4560810000,ACRES,2020-05-01,,,4,0,Fuel Break,Power Hand,Chain Saw
001,4560810000,ACRES,2020-09-01,,,4,0,Fuel Break,Prescribed Burn,Drip torch
001,4560810000,ACRES,2020-05-01,,,4,0,Fuel Break,Power Hand,Brush cutter
000,HWY3FM002F,ACRES,2007-11-14,2007-11-14,2007-11-14,6.7,6.7,Burning of Piled Material,Prescribed Burn,Drip torch
000,5250026000,ACRES,2002-05-01,2002-05-02,2002-05-02,74,74,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,6390001000,ACRES,2006-09-15,2006-09-22,2006-09-22,258,258,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,NA
002,4560810000,ACRES,2020-05-01,,,3,0,"Piling of Fuels, Hand or Machine",Hand piling,NA
002,4560810000,ACRES,2020-05-01,,,3,0,Precommercial Thin,Power Hand,Chain Saw
000,0080060041,ACRES,2012-05-07,2012-05-14,2012-10-08,35.7,35.7,"Piling of Fuels, Hand or Machine",Hand piling,Chain Saw
000,0420900000,ACRES,2010-06-01,2010-10-15,2011-06-15,1,1,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0190H14018,ACRES,2011-05-05,2011-08-01,2011-08-01,0.3,0.3,Burning of Piled Material,Prescribed Burn,Drip torch
001,0201140000,ACRES,2012-09-04,2012-09-18,2012-09-18,35,35,Compacting/Crushing of Fuels,Mechanical,Excavator
000,0420900000,ACRES,2010-06-01,2010-10-15,2010-10-15,1,1,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,0002005460,ACRES,2017-06-15,,,26,0,Commercial Thin,Mechanical,Feller Buncher
000,T264000015,ACRES,2004-09-07,2006-10-28,2006-10-29,39,39,Burning of Piled Material,Prescribed Burn,Drip torch
000,T376000021,ACRES,2005-09-27,2006-01-18,,16,16,Thinning for Hazardous Fuels Reduction,Mechanical,Feller Buncher
000,T376000021,ACRES,2005-09-27,2006-01-18,,16,16,Precommercial Thin,Mechanical,Feller Buncher
000,23S04A0000,ACRES,2007-06-01,2007-06-01,2007-06-01,15,15,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,019F211051,ACRES,2010-10-01,,,0.8,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,3S01AFB000,ACRES,2008-07-26,2008-09-04,2008-09-24,17,17,Fuel Break,Mechanical,Dozer
000,019F211028,ACRES,2009-05-11,2009-06-29,2009-06-29,0.9,0.9,Chipping of Fuels,Chipping,Chipper
001,0263602000,ACRES,2005-03-07,2005-03-07,2005-03-07,15,15,Underburn - Low Intensity (Majority of Unit),Fire,Drip torch
000,4500210000,ACRES,2004-10-23,2004-10-23,2004-10-23,90,90,Yarding - Removal of Fuels by Carrying or Dragging,Mechanical,NA
001,0330057000,ACRES,2015-02-03,2015-02-03,,27,27,Stand Clearcut (w/ leave trees) (EA/RH/FH),Tractor Logging,Feller Buncher
000,0190D13114,ACRES,2011-01-03,2011-07-28,2011-07-28,0.2,0.2,Burning of Piled Material,Prescribed Burn,Drip torch
001,WRIGHTWD08,ACRES,2011-12-01,2011-12-15,2011-12-15,129,129,Rearrangement of Fuels,Mechanical,Shredder
000,5130041000,ACRES,2014-02-01,2014-04-01,2014-04-01,37,37,Burning of Piled Material,Fire,Drip torch
000,F025412002,ACRES,2011-10-01,2012-03-01,2012-03-01,77,77,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,0001054240,ACRES,2013-09-16,,,21,0,Commercial Thin,Mechanical,Feller Buncher
000,0001054240,ACRES,2014-09-16,,,21,0,Underburn - Low Intensity (Majority of Unit),Fire,Drip torch
000,5101209000,ACRES,2014-04-15,2014-06-15,2014-09-01,12.5,12.5,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,0190G31025,ACRES,2014-01-01,2014-03-24,,0.8,0.8,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
003,3430180000,ACRES,2012-10-01,2013-04-18,2013-04-19,20.8,20.8,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,341091F49A,ACRES,2014-01-06,2014-09-11,,31,31,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
001,WCFORP001F,ACRES,2009-08-21,,,31,0,Burning of Piled Material,Prescribed Burn,Drip torch
004,WCFORP001F,ACRES,2009-03-18,2009-03-18,2009-03-27,1,1,"Piling of Fuels, Hand or Machine",Manual,Hand Work
004,WCFORP001F,ACRES,2009-08-21,,,1,0,Burning of Piled Material,Prescribed Burn,Drip torch
001,WCFORP001F,ACRES,2009-03-18,2009-03-18,2009-03-27,31,31,"Piling of Fuels, Hand or Machine",Manual,Hand Work
006,WCFORP001F,ACRES,2009-03-18,2009-03-18,2009-03-27,25,25,"Piling of Fuels, Hand or Machine",Manual,Hand Work
006,WCFORP001F,ACRES,2009-08-21,,,25,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,0190F21099,ACRES,2009-05-11,2009-06-19,2009-06-19,0.5,0.5,Chipping of Fuels,Chipping,Chipper
000,0190F21039,ACRES,2009-05-11,2009-06-25,2009-06-25,0.3,0.3,Chipping of Fuels,Chipping,Chipper
000,0190F21039,ACRES,2009-05-11,2009-06-25,2009-06-25,0.3,0.3,Precommercial Thin,Manual,NA
000,0190F21099,ACRES,2009-05-11,2009-06-19,2009-06-19,0.5,0.5,Precommercial Thin,Manual,NA
001,6264993000,ACRES,2003-11-01,2004-07-01,2004-07-01,330,330,Broadcast Burning - Covers a majority of the unit,Prescribed Burn,Drip torch
000,0190G31025,ACRES,2014-01-01,2014-03-24,,0.8,0.8,Burning of Piled Material,Prescribed Burn,Drip torch
000,517FRENCH0,ACRES,2015-07-01,,,95,0,Site Preparation for Planting - Mechanical,Mechanical,Tractor (non-harvest)
000,517FRENCH0,ACRES,2017-11-01,,,165,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,0190H11013,ACRES,2005-03-01,2008-07-25,2008-07-25,0.5,0.5,Burning of Piled Material,Prescribed Burn,Drip torch
000,T262000008,ACRES,2010-06-01,2010-08-23,,8,8,Compacting/Crushing of Fuels,Mechanical,Masticator
001,TANBARKFB2,ACRES,2012-06-10,2013-06-10,2013-06-10,21,21,Chipping of Fuels,Chipping,Chipper
000,0001022405,ACRES,2015-10-15,,,9.8,0,Commercial Thin,Mechanical,Feller Buncher
000,517FRENCH0,ACRES,2016-07-01,,,95,0,Site Preparation for Planting - Mechanical,Mechanical,Tractor (non-harvest)
000,T008000010,ACRES,2014-05-01,2014-05-23,2014-08-15,87.5,87.5,Precommercial Thin,Manual,Chain Saw
000,4080069000,ACRES,2013-03-29,2013-03-29,,5.5,5.5,Commercial Thin,Mechanical,Skid-Steer-Type Vehicle
000,4080069000,ACRES,2013-03-29,2013-03-29,,5.5,5.5,Yarding - Removal of Fuels by Carrying or Dragging,Not Applicable,NA
001,TANBARKFB2,ACRES,2012-10-01,2013-06-10,2013-06-10,21,21,Thinning for Hazardous Fuels Reduction,Power Hand,Chain Saw
000,1114071D00,ACRES,2006-11-13,2007-02-12,2007-02-12,4,4,Burning of Piled Material,Not Applicable,NA
000,0190G31025,ACRES,2014-01-01,2014-03-24,,0.8,0.8,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,6130104000,ACRES,2001-07-31,2003-09-30,2003-09-30,11.3,11.3,Precommercial Thin,Manual,Chain Saw
000,6130104000,ACRES,2001-07-31,2003-09-30,2003-09-30,11.3,11.3,"Piling of Fuels, Hand or Machine",Manual,Hand Work
008,FTMADRDFB2,ACRES,2012-10-01,2012-10-01,2012-10-26,32.2,32.2,Compacting/Crushing of Fuels,Mechanical,Masticator
008,FTMADRDFB2,ACRES,2012-10-01,2012-10-01,2012-10-26,32.2,32.2,Thinning for Hazardous Fuels Reduction,Mechanical,Masticator
000,NFP0352007,ACRES,2003-08-31,2003-09-30,2003-09-30,3978,4341,Wildland Fire Use,Not Applicable,NA
016,035038WALL,ACRES,2012-08-01,2012-08-31,,21.7,21.7,Slashing - Pre-Site Preparation,Mechanical,Tractor (non-harvest)
016,035038WALL,ACRES,2012-10-01,2014-02-06,2014-02-06,26.2,26.2,Site Preparation for Planting - Burning,Prescribed Burn,Drip torch
000,0250173000,ACRES,2006-05-01,2006-05-22,2006-07-13,53,53,Tree Release and Weed,Manual,Hand Tool
000,5330180000,ACRES,2008-09-01,2008-09-22,2008-11-25,14,14,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,5330180000,ACRES,2009-10-01,2012-02-15,2012-02-15,14,14,Burning of Piled Material,Prescribed Burn,Drip torch
000,5330180000,ACRES,2008-09-01,2008-09-22,2008-11-25,14,14,Precommercial Thin,Manual,Chain Saw
000,0170154000,ACRES,2008-07-25,2008-07-25,2008-07-25,4,4,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,0170154000,ACRES,2008-07-25,2008-07-25,2008-07-25,4,4,Thinning for Hazardous Fuels Reduction,Manual,Hand Tool
000,0190H14029,ACRES,2009-05-15,2009-08-24,2009-09-21,0.2,0.2,Precommercial Thin,Manual,NA
000,0190H14029,ACRES,2009-05-15,2009-08-24,2009-09-21,0.2,0.2,"Piling of Fuels, Hand or Machine",Hand piling,NA
001,4560810000,ACRES,2012-03-01,,,3,0,Tree Release and Weed,Mechanical,NA
000,0190F21149,ACRES,2009-05-15,2009-09-22,2009-10-29,0.2,0.2,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,0190F21149,ACRES,2009-05-15,2009-09-22,2009-10-29,0.2,0.2,Precommercial Thin,Manual,NA
000,4020303000,ACRES,2008-10-02,,,6,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,4020303000,ACRES,2009-10-02,,,6,0,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,4020303000,ACRES,2007-10-02,,,6,0,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,4020303000,ACRES,2007-10-02,,,6,0,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
004,WRIGHTWD08,ACRES,2008-11-14,2009-04-24,2009-04-24,91,91,Chipping of Fuels,Manual,Hand Work
004,WRIGHTWD08,ACRES,2008-11-12,2009-04-24,2009-04-24,91,91,Pruning to Raise Canopy Height and Discourage Crown Fire,Manual,Hand Work
004,WRIGHTWD08,ACRES,2008-10-16,2009-04-28,2009-04-28,91,91,Thinning for Hazardous Fuels Reduction,Manual,Hand Work
004,WRIGHTWD08,ACRES,2008-11-21,2009-04-24,2009-04-24,91,91,"Piling of Fuels, Hand or Machine",Manual,Hand Work
004,6264993000,ACRES,2005-10-01,2006-06-08,2006-06-08,162,162,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,2001014000,ACRES,2009-04-15,2009-04-30,2009-04-30,36,36,Underburn - Low Intensity (Majority of Unit),Fire,Drip torch
000,0190G21019,ACRES,2009-05-15,2009-09-22,2009-10-29,1,1,Precommercial Thin,Manual,NA
000,0190G21019,ACRES,2009-05-15,2009-09-22,2009-10-29,1,1,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,2480056000,ACRES,2011-03-01,,,12,0,Slashing - Pre-Site Preparation,Manual,Chain Saw
000,0190H14018,ACRES,2009-05-15,2009-08-24,2009-09-21,0.3,0.3,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,0190H14018,ACRES,2009-05-15,2009-08-24,2009-09-21,0.3,0.3,Precommercial Thin,Manual,NA
000,019H151009,ACRES,2009-05-15,2009-08-24,2009-09-21,1,1,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,019H151009,ACRES,2009-05-15,2009-08-24,2009-09-21,1,1,Precommercial Thin,Manual,NA
000,0201140000,ACRES,2009-08-01,2009-08-01,2009-08-01,285,285,Compacting/Crushing of Fuels,Mechanical,Excavator
000,EASTFORKAD,ACRES,2008-10-20,2009-06-25,2009-06-25,10,10,Chipping of Fuels,Cut trees and brush,Chipper
000,EASTFORKAD,ACRES,2007-10-25,2008-07-16,2008-07-16,10,10,Chipping of Fuels,Mechanical,Chipper
000,EASTFORKAD,ACRES,2007-10-25,2008-07-14,2008-07-14,10,10,Rearrangement of Fuels,Manual,Chain Saw
000,EASTFORKAD,ACRES,2005-01-01,2005-09-30,2005-09-30,6,6,Chipping of Fuels,Chipping,NA
000,EASTFORKAD,ACRES,2007-11-15,,,10,0,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,EASTFORKAD,ACRES,2007-10-25,2008-07-16,2008-07-16,10,10,Chipping of Fuels,Mechanical,Chipper
000,EASTFORKAD,ACRES,2008-10-20,2009-06-25,2009-06-25,10,10,Pruning to Raise Canopy Height and Discourage Crown Fire,Manual,Chain Saw
001,FTMADRDFB6,ACRES,2004-10-01,2005-08-29,2005-11-09,129.3,129.3,Thinning for Hazardous Fuels Reduction,Cut trees and brush,Chain Saw
008,ISLIPSPURF,ACRES,2009-10-19,2010-01-14,2010-01-14,5,5,"Piling of Fuels, Hand or Machine",Manual,Hand Work
008,ISLIPSPURF,ACRES,2009-10-19,2010-01-12,2010-01-12,5,5,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,0201140000,ACRES,2009-08-01,2009-08-01,2009-08-01,285,285,Precommercial Thin,Mechanical,Excavator
001,0030193000,ACRES,2010-09-15,2010-09-15,2011-10-29,34,34,Prune,Manual,Hand Work
001,0030193000,ACRES,2010-09-01,2010-09-01,2010-10-20,34,34,Precommercial Thin,Mechanical,Masticator
000,0030323000,ACRES,2012-09-15,2012-09-15,2013-08-01,26,26,Chipping of Fuels,Mechanical,Masticator
000,7304188000,ACRES,2012-08-15,,,1,0,Yarding - Removal of Fuels by Carrying or Dragging,Tractor Logging,Rubber tired skidder logging
000,F343000008,ACRES,2007-06-04,2007-06-04,2008-06-20,12,12,Compacting/Crushing of Fuels,Mechanical,Masticator
000,WRIGHTWD08,ACRES,2008-09-10,2008-09-10,2008-09-10,50,50,"Piling of Fuels, Hand or Machine",Manual,Hand Work
000,WRIGHTWD08,ACRES,2008-09-10,2008-09-10,2008-09-10,50,50,Chipping of Fuels,Manual,Hand Work
000,WRIGHTWD08,ACRES,2008-09-10,2008-09-10,2008-09-10,50,50,Thinning for Hazardous Fuels Reduction,Manual,Chain Saw
000,WRIGHTWD08,ACRES,2008-10-13,2009-02-19,,50,50,Pruning to Raise Canopy Height and Discourage Crown Fire,Manual,Hand Work
000,0190F18020,ACRES,2011-01-01,2011-08-08,2011-08-08,0.2,0.2,Chipping of Fuels,Chipping,Chipper
000,0190F18020,ACRES,2011-01-01,2011-08-08,2011-08-08,0.2,0.2,Precommercial Thin,Manual,Chain Saw
000,T022000035,ACRES,2010-06-01,2010-08-31,,91,91,Compacting/Crushing of Fuels,Mechanical,Drum Shredder
000,T022000035,ACRES,2010-06-01,2010-08-31,,91,91,Precommercial Thin,Mechanical,Drum Shredder
000,1250139000,ACRES,2013-10-01,,,52,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,4440169000,ACRES,2013-01-13,2013-05-31,2013-11-14,17,17,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,4440169000,ACRES,2012-05-31,2013-05-31,2013-11-14,17,17,Precommercial Thin,Manual,Chain Saw
000,4440169000,ACRES,2013-01-13,,,17,0,Burning of Piled Material,Prescribed Burn,Drip torch
001,0332101000,ACRES,2014-05-14,2014-05-14,2014-05-14,2.3,2.3,Thinning for Hazardous Fuels Reduction,Mechanical,Masticator
