year,priv_lumber,priv_landscape,priv_energy,priv_pp,priv_waste,nf_lumber,nf_landscape,nf_energy,nf_pp,nf_waste
1971,1113.7000,388.5000,880.6000,155.4000,2.59000,885.8000,309.0000,700.4000,123.6000,2.06000
1970,1126.6000,393.0000,890.8000,157.2000,2.62000,791.2000,276.0000,625.6000,110.4000,1.84000
1969,1238.4000,432.0000,979.2000,172.8000,2.88000,860.0000,300.0000,680.0000,120.0000,2.00000
1968,1268.5000,442.5000,1003.0000,177.0000,2.95000,1014.8000,354.0000,802.4000,141.6000,2.36000
1967,1315.8000,459.0000,1040.4000,183.6000,3.06000,817.0000,285.0000,646.0000,114.0000,1.90000
1966,1277.1000,445.5000,1009.8000,178.2000,2.97000,829.9000,289.5000,656.2000,115.8000,1.93000
1965,1384.6000,483.0000,1094.8000,193.2000,3.22000,825.6000,288.0000,652.8000,115.2000,1.92000
1964,1505.0000,525.0000,1190.0000,210.0000,3.50000,799.8000,279.0000,632.4000,111.6000,1.86000
1963,1586.7000,553.5000,1254.6000,221.4000,3.69000,713.8000,249.0000,564.4000,99.6000,1.66000
1962,1741.5000,607.5000,1377.0000,243.0000,4.05000,593.4000,207.0000,469.2000,82.8000,1.38000
1961,1655.5000,577.5000,1309.0000,231.0000,3.85000,593.4000,207.0000,469.2000,82.8000,1.38000
1960,1591.0000,555.0000,1258.0000,222.0000,3.70000,571.9000,199.5000,452.2000,79.8000,1.33000
1959,1844.7000,643.5000,1458.6000,257.4000,4.29000,636.4000,222.0000,503.2000,88.8000,1.48000
1958,1922.1000,670.5000,1519.8000,268.2000,4.47000,477.3000,166.5000,377.4000,66.6000,1.11000
1957,1874.8000,654.0000,1482.4000,261.6000,4.36000,394.7400,137.7000,312.1200,55.0800,0.91800
1956,2016.7000,703.5000,1594.6000,281.4000,4.69000,473.0000,165.0000,374.0000,66.0000,1.10000
1955,2119.9000,739.5000,1676.2000,295.8000,4.93000,442.9000,154.5000,350.2000,61.8000,1.03000
1954,2059.7000,718.5000,1628.6000,287.4000,4.79000,325.5100,113.5500,257.3800,45.4200,0.75700
1953,2287.6000,798.0000,1808.8000,319.2000,5.32000,272.1900,94.9500,215.2200,37.9800,0.63300
1952,1892.0000,660.0000,1496.0000,264.0000,4.40000,263.5900,91.9500,208.4200,36.7800,0.61300
1951,2107.0000,735.0000,1666.0000,294.0000,4.90000,,,,,
1950,1892.0000,660.0000,1496.0000,264.0000,4.40000,,,,,
1949,1634.0000,570.0000,1292.0000,228.0000,3.80000,,,,,
1948,1720.0000,600.0000,1360.0000,240.0000,4.00000,,,,,
1947,1333.0000,465.0000,1054.0000,186.0000,3.10000,,,,,
